Year,States,Energy Consumption,Population Number,GSP,Energy
2010,New South Wales,1668,7586514,543726,2.20
2010,Victoria,1455.7,5537817,378616,2.63
2010,Queensland,1249.6,4476778,294831,2.79
2010,Western Australia,980.4,1639614,102564,5.98
2010,South Australia,342.8,2353409,239627,1.46
2010,Tasmania,113.8,511483,28590,2.22
2010,Northern Territory,99.8,231292,20852,4.31
2011,New South Wales,1621.3,7680783,557491,2.11
2011,Victoria,1464.4,5651091,387684,2.59
2011,Queensland,1314.8,4568687,312040,2.88
2011,Western Australia,982.2,1656725,103611,5.93
2011,South Australia,307.7,2425507,259517,1.27
2011,Tasmania,107,511724,29156,2.09
2011,Northern Territory,98.2,235915,21698,4.16
2012,New South Wales,1568.4,7787289,570117,2.01
2012,Victoria,1429.3,5772669,391361,2.48
2012,Queensland,1334.8,4652824,320969,2.87
2012,Western Australia,1019.5,1671488,104385,6.10
2012,South Australia,356.3,2486944,275222,1.43
2012,Tasmania,112.3,512231,28999,2.19
2012,Northern Territory,100.2,241722,23197,4.15
2013,New South Wales,1526.5,7897152,582250,1.93
2013,Victoria,1397.7,5894917,399281,2.37
2013,Queensland,1338.9,4719653,328237,2.84
2013,Western Australia,1066.6,1686945,104530,6.32
2013,South Australia,337.1,2517608,291130,1.34
2013,Tasmania,108,513621,29368,2.10
2013,Northern Territory,99.1,242894,23490,4.08
2014,New South Wales,1478.8,8011981,598195,1.85
2014,Victoria,1394.4,6022322,410426,2.32
2014,Queensland,1436.1,4777692,330946,3.01
2014,Western Australia,1045.4,1700668,105656,6.15
2014,South Australia,356.9,2540672,297620,1.40
2014,Tasmania,104.9,515117,29710,2.04
2014,Northern Territory,84,244692,23796,3.43
2015,New South Wales,1524.3,8135962,620416,1.87
2015,Victoria,1416.9,6173172,424414,2.30
2015,Queensland,1464.6,4845152,338839,3.02
2015,Western Australia,1123.9,1712843,106275,6.56
2015,South Australia,316.4,2555978,300590,1.24
2015,Tasmania,107.1,517514,30276,2.07
2015,Northern Territory,83.9,245678,24286,3.42
2016,New South Wales,1533,8267695,637023,1.85
2016,Victoria,1388.1,6299798,440670,2.20
2016,Queensland,1531.9,4928374,347445,3.11
2016,Western Australia,1177,1729608,108185,6.81
2016,South Australia,287.4,2587577,297375,1.11
2016,Tasmania,107.5,528324,30594,2.03
2016,Northern Territory,83.3,248161,24653,3.36
2017,New South Wales,1564.7,8375720,652122,1.87
2017,Victoria,1314.1,6418168,455568,2.05
2017,Queensland,1547.8,5010502,360646,3.09
2017,Western Australia,1209.9,1748010,110504,6.92
2017,South Australia,334.6,2621052,304445,1.28
2017,Tasmania,110.5,540112,31557,2.05
2017,Northern Territory,90.2,248363,25125,3.63
2018,New South Wales,1555.6,8475582,668743,1.84
2018,Victoria,1279.5,6530852,469464,1.96
2018,Queensland,1520.2,5094718,363975,2.98
2018,Western Australia,1264.7,1770048,111793,7.15
2018,South Australia,326.9,2663795,309245,1.23
2018,Tasmania,108.2,552310,32647,1.96
2018,Northern Territory,133,248153,24849,5.36
2019,New South Wales,1477.8,8544949,666775,1.73
2019,Victoria,1213.3,6606149,470072,1.84
2019,Queensland,1478.7,5175003,361709,2.86
2019,Western Australia,1268.1,1793547,110652,7.07
2019,South Australia,319.5,2718400,312478,1.18
2019,Tasmania,100.1,563507,32840,1.78
2019,Northern Territory,146.5,248943,26339,5.88
2020,New South Wales,1402.4,8547373,677009,1.64
2020,Victoria,1136.2,6548040,468264,1.74
2020,Queensland,1445.2,5217653,368977,2.77
2020,Western Australia,1246.5,1803192,114921,6.91
2020,South Australia,311.2,2749864,320653,1.13
2020,Tasmania,103,567909,34083,1.81
2020,Northern Territory,145.1,249200,26181,5.82
